Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Come Dancing,The Kinks,1983,Come Dancing by The Kinks,1,1,1,1
Sunny Afternoon,The Kinks,1966,Sunny Afternoon by The Kinks,1,1,1,1
Tired of Waiting,The Kinks,1965,Tired of Waiting by The Kinks,1,1,1,1
CALIFORNIA DREAMIN',The Mamas ,1966,CALIFORNIA DREAMIN' by The Mamas ,1,1,1,1
HEARD IT IN A LOVE SONG,The Marshall Tucker Band,1977,HEARD IT IN A LOVE SONG by The Marshall Tucker Band,1,1,1,1
Ride My See Saw,The Moody Blues,1968,Ride My See Saw by The Moody Blues,1,1,1,1
The Story In Your Eyes,The Moody Blues,1971,The Story In Your Eyes by The Moody Blues,1,1,1,1
Your Wildest Dreams,The Moody Blues,1986,Your Wildest Dreams by The Moody Blues,1,1,1,1
The Kids Aren't Alright,The Offspring,1998,The Kids Aren't Alright by The Offspring,1,1,1,1
Green Grass & High Tides,The Outlaws,1975,Green Grass & High Tides by The Outlaws,1,1,1,1
Some Like It Hot,The Power Station,1985,Some Like It Hot by The Power Station,1,1,1,1
TALK OF THE TOWN,The Pretenders,1980,TALK OF THE TOWN by The Pretenders,1,1,1,1
Itchycoo Park,The Small Faces,1967,Itchycoo Park by The Small Faces,1,1,1,1
A Girl Like You,The Smithereens,1989,A Girl Like You by The Smithereens,1,1,1,1
I'm A Man,The Spencer Davis Group,1967,I'm A Man by The Spencer Davis Group,1,1,1,1
Seven Nation Army,The White Stripes,2003,Seven Nation Army by The White Stripes,1,1,1,1
I CAN'T EXPLAIN,The Who,1965,I CAN'T EXPLAIN by The Who,1,1,1,1
I'm Free,The Who,1969,I'm Free by The Who,1,1,1,1
THE SEEKER,The Who,1970,THE SEEKER by The Who,1,1,1,1
THE SONG IS OVER,The Who,1971,THE SONG IS OVER by The Who,1,1,1,1
Semi-Charmed Life,Third Eye Blind,1997,Semi-Charmed Life by Third Eye Blind,1,1,1,1
Something In the Air,Thunderclap Newman,1969,Something In the Air by Thunderclap Newman,1,1,1,1
Hello It's Me,Todd Rundgren,1972,Hello It's Me by Todd Rundgren,1,1,1,1
We Gotta Get You a Woman,Todd Rundgren,1970,We Gotta Get You a Woman by Todd Rundgren,1,1,1,1
Hold On,Triumph,1979,Hold On by Triumph,1,1,1,1
Happy Together,Turtles,1967,Happy Together by Turtles,1,1,1,1
Angel Of Harlem,U2,1988,Angel Of Harlem by U2,1,1,1,1
Sweetest Thing,U2,1987,Sweetest Thing by U2,1,1,1,1
When Love Comes to Town,U2,1988,When Love Comes to Town by U2,1,1,1,1
Lights Out (Live),UFO,1976,Lights Out (Live) by UFO,1,1,1,1
The Wizard,Uriah Heep,1972,The Wizard by Uriah Heep,1,1,1,1
Poundcake,Van Halen,1991,Poundcake by Van Halen,1,1,1,1
Where Have All the Good Times Gone!,Van Halen,1982,Where Have All the Good Times Gone! by Van Halen,1,1,1,1
CRAZY LOVE,Van Morrison,1970,CRAZY LOVE by Van Morrison,1,1,1,1
Domino,Van Morrison,1970,Domino by Van Morrison,1,1,1,1
Into The Mystic,Van Morrison,1970,Into The Mystic by Van Morrison,1,1,1,1
Blister In the Sun,Violent Femmes,1982,Blister In the Sun by Violent Femmes,1,1,1,1
Why Can't We Be Friends,War,1975,Why Can't We Be Friends by War,1,1,1,1
Slide It In,Whitesnake,1984,Slide It In by Whitesnake,1,1,1,1
Persephone,Wishbone Ash,1980,Persephone by Wishbone Ash,1,1,1,1
Starship Trooper,Yes,1971,Starship Trooper by Yes,1,1,1,1
Yours Is No Disgrace,Yes,1971,Yours Is No Disgrace by Yes,1,1,1,1
Arrested For Driving While Blind,ZZ Top,1976,Arrested For Driving While Blind by ZZ Top,1,1,1,1
TV Dinners,ZZ Top,1983,TV Dinners by ZZ Top,1,1,1,1
"Hey, Hey (What Can I Do?)",Led Zeppelin,1970,"Hey, Hey (What Can I Do?) by Led Zeppelin",1,1,0,0
