Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Unchained,Van Halen,1981,Unchained by Van Halen,1,1,49,49
Proud Mary,Creedence Clearwater Revival,1969,Proud Mary by Creedence Clearwater Revival,1,1,48,48
One of These Nights,Eagles,1975,One of These Nights by Eagles,1,1,48,48
Rhiannon,Fleetwood Mac,1975,Rhiannon by Fleetwood Mac,1,1,48,48
Round and Round,Ratt,1984,Round and Round by Ratt,1,1,48,48
Pride And Joy,Stevie Ray Vaughan,1983,Pride And Joy by Stevie Ray Vaughan,1,1,48,48
Bye Bye Love,The Cars,1978,Bye Bye Love by The Cars,1,1,48,48
Listen To The Music,The Doobie Brothers,1972,Listen To The Music by The Doobie Brothers,1,1,48,48
Rag Doll,Aerosmith,1987,Rag Doll by Aerosmith,1,1,47,47
Night Moves,Bob Seger,1976,Night Moves by Bob Seger,1,1,47,47
Space Oddity,David Bowie,1969,Space Oddity by David Bowie,1,1,47,47
Gimme Three Steps,Lynyrd Skynyrd,1973,Gimme Three Steps by Lynyrd Skynyrd,1,1,47,47
Simple Man,Lynyrd Skynyrd,1973,Simple Man by Lynyrd Skynyrd,1,1,47,47
For Those About To Rock,AC/DC,1981,For Those About To Rock by AC/DC,1,1,46,46
Take It on the Run,REO Speedwagon,1981,Take It on the Run by REO Speedwagon,1,1,46,46
Do It Again,Steely Dan,1972,Do It Again by Steely Dan,1,1,46,46
Too Much Time On My Hands,Styx,1981,Too Much Time On My Hands by Styx,1,1,46,46
Take the Long Way Home,Supertramp,1979,Take the Long Way Home by Supertramp,1,1,46,46
Once In A Lifetime,Talking Heads,1980,Once In A Lifetime by Talking Heads,1,1,46,46
Houses of the Holy,Led Zeppelin,1975,Houses of the Holy by Led Zeppelin,1,1,45,45
Touch Me,The Doors,1969,Touch Me by The Doors,1,1,45,45
School's Out,Alice Cooper,1972,School's Out by Alice Cooper,1,1,44,44
In The City,Eagles,1979,In The City by Eagles,1,1,44,44
Flying High Again,Ozzy Osbourne,1981,Flying High Again by Ozzy Osbourne,1,1,44,44
Learning to Fly,Pink Floyd,1987,Learning to Fly by Pink Floyd,1,1,44,44
The Happiest Days Of Our Lives/another Brick In The Wall,Pink Floyd,1979,The Happiest Days Of Our Lives/another Brick In The Wall by Pink Floyd,1,1,44,44
Don't You,Simple Minds,1985,Don't You by Simple Minds,1,1,44,44
She Talks To Angels,The Black Crowes,1990,She Talks To Angels by The Black Crowes,1,1,44,44
Beautiful Girls,Van Halen,1979,Beautiful Girls by Van Halen,1,1,44,44
Why Can't This Be Love,Van Halen,1986,Why Can't This Be Love by Van Halen,1,1,44,44
Roundabout,Yes,1971,Roundabout by Yes,1,1,44,44
Hollywood Nights,Bob Seger,1978,Hollywood Nights by Bob Seger,1,1,43,43
Rebel Rebel,David Bowie,1974,Rebel Rebel by David Bowie,1,1,43,43
Smoke On The Water,Deep Purple,1972,Smoke On The Water by Deep Purple,1,1,43,43
Good Times Bad Times,Led Zeppelin,1969,Good Times Bad Times by Led Zeppelin,1,1,43,43
Jungle Love,Steve Miller Band,1977,Jungle Love by Steve Miller Band,1,1,43,43
Riders On The Storm,The Doors,1971,Riders On The Storm by The Doors,1,1,43,43
And the Cradle Will Rock...,Van Halen,1980,And the Cradle Will Rock... by Van Halen,1,1,43,43
Dude (Looks Like a Lady),Aerosmith,1987,Dude (Looks Like a Lady) by Aerosmith,1,1,42,42
Old Time Rock & Roll,Bob Seger,1978,Old Time Rock & Roll by Bob Seger,1,1,42,42
Run to You,Bryan Adams,1984,Run to You by Bryan Adams,1,1,42,42
Evil Woman,Electric Light Orchestra,1975,Evil Woman by Electric Light Orchestra,1,1,42,42
Going to California,Led Zeppelin,1971,Going to California by Led Zeppelin,1,1,42,42
Bad Case Of Lovin' You,Robert Palmer,1979,Bad Case Of Lovin' You by Robert Palmer,1,1,42,42
Under My Thumb,Rolling Stones,1966,Under My Thumb by Rolling Stones,1,1,42,42
Jet Airliner,Steve Miller Band,1977,Jet Airliner by Steve Miller Band,1,1,42,42
Burnin' Sky,Bad Company,1977,Burnin' Sky by Bad Company,1,1,41,41
Can't Get Enough,Bad Company,1974,Can't Get Enough by Bad Company,1,1,41,41
Runaway,Bon Jovi,1984,Runaway by Bon Jovi,1,1,41,41
All Night Long,Joe Walsh,1980,All Night Long by Joe Walsh,1,1,41,41
"Baby, I Love Your Way",Peter Frampton,1975,"Baby, I Love Your Way by Peter Frampton",1,1,41,41
Brain Damage /Eclipse,Pink Floyd,1973,Brain Damage /Eclipse by Pink Floyd,1,1,41,41
Have a Cigar,Pink Floyd,1975,Have a Cigar by Pink Floyd,1,1,41,41
Welcome To The Machine,Pink Floyd,1975,Welcome To The Machine by Pink Floyd,1,1,41,41
You Wreck Me,Tom Petty & The Heartbreakers,1994,You Wreck Me by Tom Petty & The Heartbreakers,1,1,41,41
Iron Man,Black Sabbath,1972,Iron Man by Black Sabbath,1,1,40,40
For What It's Worth,Buffalo Springfield,1966,For What It's Worth by Buffalo Springfield,1,1,40,40
Hurts So Good,John Mellencamp,1982,Hurts So Good by John Mellencamp,1,1,40,40
What Is and What Should Never Be,Led Zeppelin,1969,What Is and What Should Never Be by Led Zeppelin,1,1,40,40
I Can't Drive 55,Sammy Hagar,1984,I Can't Drive 55 by Sammy Hagar,1,1,40,40
Reelin' in the Years,Steely Dan,1972,Reelin' in the Years by Steely Dan,1,1,40,40
Stand Back,Stevie Nicks,1983,Stand Back by Stevie Nicks,1,1,40,40
China Grove,The Doobie Brothers,1973,China Grove by The Doobie Brothers,1,1,40,40
Lola,The Kinks,1970,Lola by The Kinks,1,1,40,40
Back On The Chain Gang,The Pretenders,1982,Back On The Chain Gang by The Pretenders,1,1,40,40
Have a Drink On Me,AC/DC,1980,Have a Drink On Me by AC/DC,1,1,39,39
It's A Long Way To The Top,AC/DC,1975,It's A Long Way To The Top by AC/DC,1,1,39,39
Back in the Saddle,Aerosmith,1976,Back in the Saddle by Aerosmith,1,1,39,39
No More Mr. Nice Guy,Alice Cooper,1973,No More Mr. Nice Guy by Alice Cooper,1,1,39,39
Takin' Care Of Business,Bachman-Turner Overdrive,1973,Takin' Care Of Business by Bachman-Turner Overdrive,1,1,39,39
Against The Wind,Bob Seger,1980,Against The Wind by Bob Seger,1,1,39,39
Take It to the Limit,Eagles,1975,Take It to the Limit by Eagles,1,1,39,39
I Shot The Sheriff,Eric Clapton,1974,I Shot The Sheriff by Eric Clapton,1,1,39,39
Long Cool Woman,Hollies,1971,Long Cool Woman by Hollies,1,1,39,39
Running On Empty,Jackson Browne,1977,Running On Empty by Jackson Browne,1,1,39,39
Come As You Are,Nirvana,1991,Come As You Are by Nirvana,1,1,39,39
We're Not Gonna Take It,Twisted Sister,1984,We're Not Gonna Take It by Twisted Sister,1,1,39,39
